Rank,Company,EmployeeCount,Revenue,Profits,Assets,MarketValue,Sector,Industry,Hqcity,Hqstate
1,Walmart,2200000,514405,6670,219295,279880.3,Retailing,General Merchandisers,Bentonville,AR
2,Exxon Mobil,71000,290212,20840,346196,342172,Energy,Petroleum Refining,Irving,TX
3,Apple,132000,265595,59531,365725,895667.4,Technology,"Computers, Office Equipment",Cupertino,CA
4,Berkshire Hathaway,389000,247837,4021,707794,493870.3,Financials,Insurance: Property and Casualty (Stock),Omaha,NE
5,Amazon.com,647500,232887,10073,162648,874709.5,Technology,Internet Services and Retailing,Seattle,WA
6,UnitedHealth Group,300000,226247,11986,152221,237255.5,Health Care,Health Care: Insurance and Managed Care,Minnetonka,MN
7,McKesson,68000,208357,67,60381,22455.1,Wholesalers,Wholesalers: Health Care,San Francisco,CA
8,CVS Health,295000,194579,-594,196456,69951.6,Health Care,Health Care: Pharmacy and Other Services,Woonsocket,RI
9,AT&T,268220,170756,19370,531864,228444.7,Telecommunications,Telecommunications,Dallas,TX
10,AmerisourceBergen,20500,167939.6,1658.4,37669.8,16785.9,Wholesalers,Wholesalers: Health Care,Chesterbrook,PA
11,Chevron,48600,166339,14824,253863,234049.7,Energy,Petroleum Refining,San Ramon,CA
12,Ford Motor,199000,160338,3677,256540,35028,Motor Vehicles & Parts,Motor Vehicles and Parts,Dearborn,MI
13,General Motors,173000,147049,8014,227339,52291.7,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,MI
14,Costco,194000,141576,3134,40830,106512.6,Retailing,General Merchandisers,Issaquah,WA
15,Alphabet,98771,136819,30736,232792,816824.2,Technology,Internet Services and Retailing,Mountain View,CA
16,Cardinal Health,50200,136809,256,39951,14349.5,Wholesalers,Wholesalers: Health Care,Dublin,OH
17,Walgreens Boots Alliance,299000,131537,5024,68124,59691.7,Food & Drug Stores,Food and Drug Stores,Deerfield,IL
18,J.P. Morgan Chase,256105,131412,32474,2622532,331451.5,Financials,Commercial Banks,New York,NY
19,Verizon,144500,130863,15528,264829,244327.9,Telecommunications,Telecommunications,New York,NY
20,Kroger,453000,121162,3110,38118,19630.8,Food & Drug Stores,Food and Drug Stores,Cincinnati,OH
21,General Electric,283000,120268,-22355,309129,87009.3,Industrials,Industrial Machinery,Boston,MA
22,Fannie Mae,7400,120101,15959,3418318,3242.6,Financials,Diversified Financials,Washington,DC
23,Phillips 66,14200,114217,5595,54302,43240.7,Energy,Petroleum Refining,Houston,TX
24,Valero Energy,10261,111407,3122,50155,35426.1,Energy,Petroleum Refining,San Antonio,TX
